"SubID","EffLvl","IsRewarded","EfficacyProbeResp","RewRateProbeResp"
"1043","Efficacy","NoReward",NA,NA
"1043","Efficacy","NoReward","0.533333333",NA
"1043","NoEfficacy","NoReward",NA,NA
"1043","NoEfficacy","Reward",NA,NA
"1043","NoEfficacy","NoReward",NA,"0.475000000"
"1043","NoEfficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","Efficacy","Reward",NA,NA
"1043","NoEfficacy","NoReward","0.400000000",NA
"1043","Efficacy","NoReward",NA,NA
"1043","NoEfficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","NoEfficacy","Reward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","NoEfficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","NoEfficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
